1;;;;;;;;;;;;
;0;КПБ Хлопок сатин с вышивкой ES-03;;;;;;;;;;TTES-03 1.5 спальный
;0;КПБ MF-15;;;;;;;;;;TTMF-15 Евро
;0;КПБ PC-08 (поликоттон);;;;;;;;;;TTPC-08 2 спальный
;0;КПБ PC-10 (поликоттон);;;;;;;;;;TTPC-10 2 спальный
;0;КПБ PC-13 (поликоттон);;;;;;;;;;TTPC-13 2 спальный
;0;КПБ PC-15 (поликоттон);;;;;;;;;;TTPC-15 Семейный
;0;КПБ A-130;;;;;;;;;;TTA-130 2 спальный
;0;КПБ A-131;;;;;;;;;;TTA-131 2 спальный
;0;КПБ RS-109;;;;;;;;;;TTRS-109 Евро (2 наволочки)
;0;КПБ RS-110;;;;;;;;;;TTRS-110 Евро (2 наволочки)
;0;КПБ RS-114;;;;;;;;;;TTRS-114 2 спальный (4 наволочки)
;0;Скатерть SK 07;;;;;;;;;;TTSK 07 160х300
;0;КПБ ОМР-05;;;;;;;;;;TTOMP-05 2 спальный
;0;КПБ A-140;;;;;;;;;;TTA-140 Евро
;0;КПБ П-38;;;;;;;;;;TTП-38 1.5 спальный
;0;КПБ П-38;;;;;;;;;;TTП-38 Евро
;0;Скатерть SK 05;;;;;;;;;;TTSK 05 200х220
;0;КПБ AB-SG 02;;;;;;;;;;TTAB-SG 02 2 спальный
;0;КПБ AB-SG 08;;;;;;;;;;TTAB-SG 08 2 спальный
;0;КПБ OD-24;;;;;;;;;;TTOD-24 Евро
;0;КПБ OD-25;;;;;;;;;;TTOD-25 Евро
;0;КПБ A-161;;;;;;;;;;TTA-161 Евро
;0;КПБ AB-SG 09;;;;;;;;;;TTAB-SG 09 2 спальный
;0;КПБ D-143;;;;;;;;;;TTD-143 Евро
;0;КПБ П-40;;;;;;;;;;TTП-40 Евро
;0;КПБ MF-18;;;;;;;;;;TTMF-18 Евро
;0;КПБ RS-75;;;;;;;;;;TTRS-75 Евро (4 наволочки)
;0;КПБ RS-76;;;;;;;;;;TTRS-76 2 спальный (4 наволочки)
;0;КПБ RS-80;;;;;;;;;;TTRS-80 Евро (2 наволочки)
;0;КПБ RS-81;;;;;;;;;;TTRS-81 2 спальный (4 наволочки)
;0;КПБ RS-116;;;;;;;;;;TTRS-116 Евро (2 наволочки)
;0;КПБ RS-119;;;;;;;;;;TTRS-119 Евро (2 наволочки)
;0;КПБ RS-118;;;;;;;;;;TTRS-118 Евро (2 наволочки)
;0;КПБ 110-60;;;;;;;;;;TT110-60 Евро
;0;КПБ П-9;;;;;;;;;;TTП-9 1.5 спальный
;0;КПБ П-9;;;;;;;;;;TTП-9 Евро
;0;КПБ П-14;;;;;;;;;;TTП-14 2 спальный
;0;КПБ П-19;;;;;;;;;;TTП-19 Семейный
;0;КПБ П-33;;;;;;;;;;TTП-33 Семейный
;0;КПБ С-116;;;;;;;;;;TTC-116 Семейный
;0;КПБ C-22;;;;;;;;;;TTC-22 Семейный
;0;КПБ 110-32;;;;;;;;;;TT110-32 Евро
;0;КПБ 220-46;;;;;;;;;;TT220-46 Евро
;0;КПБ A-107;;;;;;;;;;TTA-107 Евро
;0;КПБ A-120;;;;;;;;;;TTA-120 1.5 спальный
;0;КПБ A-120;;;;;;;;;;TTA-120 2 спальный
;0;КПБ A-88;;;;;;;;;;TTA-88 2 спальный
;0;КПБ A-22;;;;;;;;;;TTA-22 1.5 спальный
;0;КПБ A-28;;;;;;;;;;TTA-28 Евро
;0;КПБ A-31;;;;;;;;;;TTA-31 Семейный
;0;КПБ A-31;;;;;;;;;;TTA-31 Евро
;0;КПБ A-32;;;;;;;;;;TTA-32 Семейный
;0;КПБ A-56;;;;;;;;;;TTA-56 Семейный
;0;КПБ A-84;;;;;;;;;;TTA-84 2 спальный
;0;КПБ A-68;;;;;;;;;;TTA-68 2 спальный
;0;КПБ A-75;;;;;;;;;;TTA-75 2 спальный
;0;КПБ B-59-1;;;;;;;;;;TTB-59-1 Семейный
;0;КПБ B-95;;;;;;;;;;TTB-95 2 спальный
;0;КПБ B-88;;;;;;;;;;TTB-88 1.5 спальный
;0;КПБ B-87;;;;;;;;;;TTB-87 1.5 спальный
;0;КПБ B-87;;;;;;;;;;TTB-87 2 спальный
;0;КПБ B-122;;;;;;;;;;TTB-122 Евро
;0;КПБ B-10;;;;;;;;;;TTB-10 Евро
;0;КПБ B-25;;;;;;;;;;TTB-25 Евро
;0;КПБ B-31;;;;;;;;;;TTB-31 2 спальный
;0;КПБ B-45;;;;;;;;;;TTB-45 Семейный
;0;КПБ B-48;;;;;;;;;;TTB-48 Евро
;0;КПБ D-26;;;;;;;;;;TTD-26 Евро
;0;КПБ D-34;;;;;;;;;;TTD-34 Семейный
;0;КПБ OB-01;;;;;;;;;;TTOB-01 Семейный
;0;КПБ OB-02;;;;;;;;;;TTOB-02 2 спальный
;0;Палантин;;;;;;;;;;GR01-00011362
;0;КПБ OD-03;;;;;;;;;;TTOD-03 2 спальный
;0;КПБ OD-18;;;;;;;;;;TTOD-18 2 спальный
;0;КПБ TJ-06;;;;;;;;;;TTTJ-06 Евро
;0;КПБ PC-11 (поликоттон);;;;;;;;;;TTPC-11 Евро
;0;КПБ B-125;;;;;;;;;;TTB-125 Евро
;0;КПБ 220-47;;;;;;;;;;TT220-47 Евро
;0;КПБ B-120;;;;;;;;;;TTB-120 1.5 спальный
;0;КПБ B-66;;;;;;;;;;TTB-66 2 спальный
;0;КПБ MF-28;;;;;;;;;;TTMF-28 2 спальный
;0;КПБ MF-33;;;;;;;;;;TTMF-33 2 спальный
;0;КПБ MF-37;;;;;;;;;;TTMF-37 Семейный
;0;Плед INCALPACA (55% шерсть альпака, 45% шерсть мериноса) PP-2;;;;;;;;;;TTPP-2 150x200
;0;КПБ SDS-60;;;;;;;;;;TTSDS-60 Семейный
;0;Палантин;;;;;;;;;;GR01-00012251
;0;Палантин;;;;;;;;;;GR01-00012206
;0;3218 FD кожа /лак черный (сумка женская);;;;;;;;;;3218
;0;3584 FD кожа /замша черный (сумка женская);;;;;;;;;;3584-d88790
;0;п3669 FD кожа чер. /красн. (косметичка);;;;;;;;;;п3669-d88809
;0;3218 FD кожа /лак т.коричневый (сумка женская);;;;;;;;;;3218-d88857
;0;3467 FD крокодил коричневый  (сумка женская);;;;;;;;;;3467-d88864
;0;3583 FD кожа /замша черный (сумка женская);;;;;;;;;;3583-d88867
;0;3630 FD кожа /замша т.коричневый (сумка женская);;;;;;;;;;3630-d88875
;0;3630 FD кожа /замша черный (сумка женская);;;;;;;;;;3630-d88876
;0;3633 FD кожа коричневый /т.коричневый (сумка женская);;;;;;;;;;3633-d88882
;0;3711 FD кожа коричневый/струззо зеленый (сумка женская);;;;;;;;;;3711-d88894
;0;Палантин;;;;;;;;;;GR01-00011415
;0;Платок;;;;;;;;;;GR01-00012302
;0;КПБ B-65;;;;;;;;;;TTB-65 Евро
;0;КПБ B-117;;;;;;;;;;TTB-117 Семейный
;0;Платок;;;;;;;;;;GR01-00011856
;0;Шарф;;;;;;;;;;GR01-00012160
;0;Шарф;;;;;;;;;;GR01-00012171
;0;КПБ 110-65;;;;;;;;;;TT110-65 Евро
;0;КПБ 110-65;;;;;;;;;;TT110-65 Семейный
;0;КПБ 110-66;;;;;;;;;;TT110-66 Семейный
;0;Ключница;;;;;;;;;;GR01-00009065
;0;КПБ 110-69;;;;;;;;;;TT110-69 2 спальный
;0;Платок;;;;;;;;;;GR01-00011811
;0;Платок;;;;;;;;;;GR01-00011830
;0;КПБ B-39;;;;;;;;;;TTB-39 2 спальный
;0;КПБ С-159;;;;;;;;;;TTC-159 Семейный
;0;КПБ С-159;;;;;;;;;;TTC-159 2 спальный
;0;Классика;;;;;;;;;;GR01-00009461
;0;Классика;;;;;;;;;;GR01-00012554
;0;Платок;;;;;;;;;;GR01-00012135
;0;Палантин;;;;;;;;;;GR01-00012446
;0;КПБ OD-20;;;;;;;;;;TTOD-20 Евро
;0;3676 FD замша черный /золото (клатч женский);;;;;;;;;;3676
;0;3654 FD кожа /питон черный (клатч женский);;;;;;;;;;3654
;0;3171 FD замша /кожа черный (клатч женский);;;;;;;;;;3171
;0;Платок;;;;;;;;;;GR01-00012339
;0;3072 FD кожа /замша черный (клатч женский);;;;;;;;;;3072-d91799
;0;Fashion;;;;;;;;;;GR01-00003850
;0;TOUCH;;;;;;;;;;GR01-00003859
;0;Зонт-трость;;;;;;;;;;GR01-00011926
;0;КПБ MO-02;;;;;;;;;;TTMO-02 2 спальный
;0;КПБ MO-03;;;;;;;;;;TTMO-03 2 спальный
;0;КПБ MO-03;;;;;;;;;;TTMO-03 Евро
;0;КПБ MO-03;;;;;;;;;;TTMO-03 Семейный
;0;КПБ MO-04;;;;;;;;;;TTMO-04 2 спальный
;0;КПБ MO-04;;;;;;;;;;TTMO-04 Евро
;0;КПБ MO-04;;;;;;;;;;TTMO-04 Семейный
;0;КПБ MO-06;;;;;;;;;;TTMO-06 1.5 спальный
;0;КПБ MO-06;;;;;;;;;;TTMO-06 2 спальный
;0;КПБ MO-06;;;;;;;;;;TTMO-06 Евро
;0;КПБ MO-06;;;;;;;;;;TTMO-06 Семейный
;0;КПБ MO-10;;;;;;;;;;TTMO-10 Евро
;0;КПБ MO-10;;;;;;;;;;TTMO-10 Семейный
;0;КПБ MO-12;;;;;;;;;;TTMO-12 Евро
